step,time,phase_name,simulation_time
441,2.209999999999975,Standing,11.16
442,2.214999999999975,Standing,11.139999999999999
443,2.219999999999975,Standing,11.120000000000001
444,2.2249999999999748,Standing,11.099999999999998
445,2.2299999999999747,Standing,11.080000000000002
446,2.2349999999999746,Standing,11.059999999999999
447,2.2399999999999745,Standing,11.040000000000001
448,2.2449999999999743,Standing,11.02
449,2.2499999999999742,Standing,11.0
450,2.254999999999974,Standing,10.979999999999999
451,2.259999999999974,Standing,10.96
452,2.264999999999974,Standing,10.939999999999998
453,2.269999999999974,Standing,10.920000000000002
454,2.2749999999999737,Standing,10.899999999999999
455,2.2799999999999736,Standing,10.88
456,2.2849999999999735,Standing,10.86
457,2.2899999999999734,Standing,10.84
458,2.2949999999999733,Standing,10.819999999999999
459,2.299999999999973,Standing,10.8
460,2.304999999999973,Standing,10.779999999999998
461,2.309999999999973,Standing,10.760000000000002
462,2.314999999999973,Standing,10.739999999999998
463,2.3199999999999728,Standing,10.72
464,2.3249999999999726,Standing,10.7
465,2.3299999999999725,Standing,10.68
466,2.3349999999999724,Standing,10.659999999999998
467,2.3399999999999723,Standing,10.64
468,2.344999999999972,Standing,10.620000000000001
469,2.349999999999972,Standing,10.600000000000001
470,2.354999999999972,Standing,10.58
471,2.359999999999972,Standing,10.56
472,2.364999999999972,Standing,10.540000000000001
473,2.3699999999999717,Standing,10.52
474,2.3749999999999716,Standing,10.5
475,2.3799999999999715,Standing,10.48
476,2.3849999999999714,Standing,10.46
477,2.3899999999999713,Standing,10.440000000000001
478,2.394999999999971,Standing,10.42
479,2.399999999999971,Standing,10.4
480,2.404999999999971,Standing,10.38
481,2.409999999999971,Standing,10.36
482,2.4149999999999707,Standing,10.34
483,2.4199999999999706,Standing,10.32
484,2.4249999999999705,Standing,10.3
485,2.4299999999999704,Standing,10.280000000000001
486,2.4349999999999703,Standing,10.26
487,2.43999999999997,Standing,10.24
488,2.44499999999997,Standing,10.22
489,2.44999999999997,Standing,10.2
490,2.45499999999997,Standing,10.18
491,2.4599999999999698,Standing,10.16
492,2.4649999999999697,Standing,10.14
493,2.4699999999999696,Standing,10.120000000000001
494,2.4749999999999694,Standing,10.1
495,2.4799999999999693,Standing,10.08
496,2.4849999999999692,Standing,10.06
497,2.489999999999969,Standing,10.04
498,2.494999999999969,Standing,10.02
499,2.499999999999969,Standing,10.0
500,2.504999999999969,Standing,9.98
501,2.5099999999999687,Standing,9.96
502,2.5149999999999686,Standing,9.94
503,2.5199999999999685,Standing,9.92
504,2.5249999999999684,Standing,9.9
505,2.5299999999999683,Standing,9.879999999999999
506,2.534999999999968,Standing,9.86
507,2.539999999999968,Standing,9.84
508,2.544999999999968,Standing,9.82
509,2.549999999999968,Standing,9.8
510,2.5549999999999677,Standing,9.78
511,2.5599999999999676,Standing,9.76
512,2.5649999999999675,Standing,9.74
513,2.5699999999999674,Standing,9.719999999999999
514,2.5749999999999673,Standing,9.7
